time,y_x,y_y,target_x,target_y,beacon_0_x,beacon_0_y,beacon_1_x,beacon_1_y
0,2.70000000,0.00000000,1.20000000,-0.75000000,-2.20000000,-1.40000000,2.40000000,1.70000000
1,2.68673312,0.20984082,1.20000000,-0.75000000,-2.20000000,-1.40000000,2.40000000,1.70000000
2,2.64713582,0.41419089,1.20000000,-0.75000000,-2.20000000,-1.40000000,2.40000000,1.70000000
3,2.58181385,0.60783011,1.20000000,-0.75000000,-2.20000000,-1.40000000,2.40000000,1.70000000
4,2.49176257,0.78606463,1.20000000,-0.75000000,-2.20000000,-1.40000000,2.40000000,1.70000000
5,2.37834592,0.94495307,1.20000000,-0.75000000,-2.20000000,-1.40000000,2.40000000,1.70000000
6,2.24326775,1.08149098,1.20000000,-0.75000000,-2.20000000,-1.40000000,2.40000000,1.70000000
7,2.08853615,1.19374308,1.20000000,-0.75000000,-2.20000000,-1.40000000,2.40000000,1.70000000
8,1.91642158,1.28091630,1.20000000,-0.75000000,-2.20000000,-1.40000000,2.40000000,1.70000000
9,1.72940993,1.34336949,1.20000000,-0.75000000,-2.20000000,-1.40000000,2.40000000,1.70000000
10,1.53015147,1.38255959,1.20000000,-0.75000000,-2.20000000,-1.40000000,2.40000000,1.70000000
11,1.32140705,1.40092749,1.20000000,-0.75000000,-2.20000000,-1.40000000,2.40000000,1.70000000
12,1.10599276,1.40173027,1.20000000,-0.75000000,-2.20000000,-1.40000000,2.40000000,1.70000000
13,0.88672430,1.38882947,1.20000000,-0.75000000,-2.20000000,-1.40000000,2.40000000,1.70000000
14,0.66636252,1.36644759,1.20000000,-0.75000000,-2.20000000,-1.40000000,2.40000000,1.70000000
15,0.44756123,1.33890675,1.20000000,-0.75000000,-2.20000000,-1.40000000,2.40000000,1.70000000
16,0.23281859,1.31036451,1.20000000,-0.75000000,-2.20000000,-1.40000000,2.40000000,1.70000000
17,0.02443318,1.28456186,1.20000000,-0.75000000,-2.20000000,-1.40000000,2.40000000,1.70000000
18,-0.17553428,1.26459781,1.20000000,-0.75000000,-2.20000000,-1.40000000,2.40000000,1.70000000
19,-0.36529276,1.25274350,1.20000000,-0.75000000,-2.20000000,-1.40000000,2.40000000,1.70000000
20,-0.54334551,1.25030622,1.20000000,-0.75000000,-2.20000000,-1.40000000,2.40000000,1.70000000
21,-0.70850704,1.25755143,1.20000000,-0.75000000,-2.20000000,-1.40000000,2.40000000,1.70000000
22,-0.85991212,1.27368680,1.20000000,-0.75000000,-2.20000000,-1.40000000,2.40000000,1.70000000
23,-0.99701673,1.29690960,1.20000000,-0.75000000,-2.20000000,-1.40000000,2.40000000,1.70000000
24,-1.11959107,1.32451443,1.20000000,-0.75000000,-2.20000000,-1.40000000,2.40000000,1.70000000
25,-1.22770492,1.35305529,1.20000000,-0.75000000,-2.20000000,-1.40000000,2.40000000,1.70000000
26,-1.32170589,1.37855275,1.20000000,-0.75000000,-2.20000000,-1.40000000,2.40000000,1.70000000
27,-1.40219116,1.39673436,1.20000000,-0.75000000,-2.20000000,-1.40000000,2.40000000,1.70000000
28,-1.46997364,1.40329461,1.20000000,-0.75000000,-2.20000000,-1.40000000,2.40000000,1.70000000
29,-1.52604344,1.39415958,1.20000000,-0.75000000,-2.20000000,-1.40000000,2.40000000,1.70000000
30,-1.57152582,1.36574121,1.20000000,-0.75000000,-2.20000000,-1.40000000,2.40000000,1.70000000
31,-1.60763667,1.31516652,1.20000000,-0.75000000,-2.20000000,-1.40000000,2.40000000,1.70000000
32,-1.63563691,1.24046880,1.20000000,-0.75000000,-2.20000000,-1.40000000,2.40000000,1.70000000
33,-1.65678686,1.14072952,1.20000000,-0.75000000,-2.20000000,-1.40000000,2.40000000,1.70000000
34,-1.67230205,1.01616301,1.20000000,-0.75000000,-2.20000000,-1.40000000,2.40000000,1.70000000
35,-1.68331139,0.86813867,1.20000000,-0.75000000,-2.20000000,-1.40000000,2.40000000,1.70000000
36,-1.69081911,0.69913932,1.20000000,-0.75000000,-2.20000000,-1.40000000,2.40000000,1.70000000
37,-1.69567128,0.51265789,1.20000000,-0.75000000,-2.20000000,-1.40000000,2.40000000,1.70000000
38,-1.69852789,0.31303790,1.20000000,-0.75000000,-2.20000000,-1.40000000,2.40000000,1.70000000
39,-1.69984125,0.10526679,1.20000000,-0.75000000,-2.20000000,-1.40000000,2.40000000,1.70000000
40,-1.69984125,-0.10526679,1.20000000,-0.75000000,-2.20000000,-1.40000000,2.40000000,1.70000000
41,-1.69852789,-0.31303790,1.20000000,-0.75000000,-2.20000000,-1.40000000,2.40000000,1.70000000
42,-1.69567128,-0.51265789,1.20000000,-0.75000000,-2.20000000,-1.40000000,2.40000000,1.70000000
