trajectory,beacons,observations,observability_rank,smallest_singular_value,trajectory_spread,largest_singular_value,condition_number,logdet_information
stationary,1,80,4,0.00000000,0.00000000,2186.56788256,1000000000000.00000000,29.83896995
short_line,1,80,5,18.94072355,3.62278481,2215.97465530,116.99524833,55.83012075
repeated_viewpoints,1,80,5,17.01133265,4.25000000,2216.28464788,130.28283521,56.08040331
low_curvature_arc,1,80,5,102.06870604,132.71610441,2205.76399975,21.61058061,59.37312563
collinear_pass,1,80,5,295.03276398,214.35949367,3606.40326195,12.22373818,70.60407880
line,1,80,5,165.76312254,267.94936709,2210.85978883,13.33746466,60.55734044
circle,1,80,5,252.98806472,352.74487500,2247.92625550,8.88550319,63.62637197
figure_eight,1,80,5,229.23653026,252.80000000,2243.84859677,9.78835526,62.54900852
excited,1,80,5,219.12497041,314.21262500,2279.11331112,10.40097487,63.25166799
excited_figure_eight,1,80,5,208.69131157,222.13565625,2263.00835331,10.84380723,62.11026088
