scenario,beacons,trial,target_x,target_y,estimate_x,estimate_y,error,beacon_position_rmse,beacon_yaw_rmse,cost,iterations,runtime_ms,solver_converged,success
1,1,0,1.20000000,-0.75000000,1.19699978,-0.74969693,0.00301549,0.00185143,0.00066244,175.03418044,4,0.98100000,1,1
1,1,1,1.20000000,-0.75000000,1.19632764,-0.75119069,0.00386056,0.00113429,0.00069452,177.20323432,4,0.91700000,1,1
1,1,2,1.20000000,-0.75000000,1.19985100,-0.75281839,0.00282233,0.00048940,0.00017835,133.87738417,3,1.02800000,1,1
1,1,3,1.20000000,-0.75000000,1.20031974,-0.74461697,0.00539252,0.00274424,0.00013026,166.21225954,4,1.00500000,1,1
1,1,4,1.20000000,-0.75000000,1.19953506,-0.73888242,0.01112729,0.00306726,0.00252645,145.71545879,4,1.15600000,1,1
1,1,5,1.20000000,-0.75000000,1.19897955,-0.74828771,0.00199330,0.00180699,0.00050833,149.86053151,4,1.30900000,1,1
1,1,6,1.20000000,-0.75000000,1.20124295,-0.74613141,0.00406336,0.00230421,0.00013352,161.61208859,4,1.25700000,1,1
1,1,7,1.20000000,-0.75000000,1.20412177,-0.74914983,0.00420854,0.00176490,0.00003002,141.72804109,4,1.22000000,1,1
1,1,8,1.20000000,-0.75000000,1.20530575,-0.74424549,0.00782722,0.00177944,0.00081134,182.38387181,4,1.16000000,1,1
1,1,9,1.20000000,-0.75000000,1.20010709,-0.75029467,0.00031353,0.00144723,0.00018011,157.51696911,4,1.11900000,1,1
1,1,10,1.20000000,-0.75000000,1.20074758,-0.74726618,0.00283419,0.00177377,0.00019848,148.27513138,4,1.22300000,1,1
1,1,11,1.20000000,-0.75000000,1.19670386,-0.76108525,0.01156491,0.00315421,0.00193660,185.33670531,4,1.23000000,1,1
1,1,12,1.20000000,-0.75000000,1.19833210,-0.75149780,0.00224172,0.00277308,0.00018336,151.46607082,4,1.22900000,1,1
1,1,13,1.20000000,-0.75000000,1.19278461,-0.75483062,0.00868313,0.00228451,0.00098904,146.28766241,4,1.27200000,1,1
1,1,14,1.20000000,-0.75000000,1.19866788,-0.74928950,0.00150976,0.00273733,0.00073110,146.06833497,4,0.91000000,1,1
1,1,15,1.20000000,-0.75000000,1.20035832,-0.74978430,0.00041823,0.00084229,0.00011402,158.80442050,4,0.91700000,1,1
1,1,16,1.20000000,-0.75000000,1.20606731,-0.75089547,0.00613303,0.00242457,0.00047160,149.40022521,4,0.91200000,1,1
1,1,17,1.20000000,-0.75000000,1.20127286,-0.74953738,0.00135433,0.00056072,0.00043755,156.20632571,4,0.93000000,1,1
1,1,18,1.20000000,-0.75000000,1.20600463,-0.73808586,0.01334175,0.00384043,0.00361426,175.94140143,15,2.00500000,1,1
1,1,19,1.20000000,-0.75000000,1.20198189,-0.74199241,0.00824921,0.00423715,0.00147636,141.21152441,4,0.91700000,1,1
1,1,20,1.20000000,-0.75000000,1.19647321,-0.75336151,0.00487216,0.00290133,0.00039361,142.15283380,4,0.90200000,1,1
1,1,21,1.20000000,-0.75000000,1.19908048,-0.75094225,0.00131656,0.00551377,0.00074685,152.59847240,4,0.88800000,1,1
1,1,22,1.20000000,-0.75000000,1.18996905,-0.75764827,0.01261412,0.00458125,0.00223586,124.34837236,8,1.26600000,1,1
1,1,23,1.20000000,-0.75000000,1.20118632,-0.74809646,0.00224295,0.00121498,0.00062483,172.62663601,10,1.49300000,1,1
1,1,24,1.20000000,-0.75000000,1.20314622,-0.74875840,0.00338235,0.00186046,0.00042457,152.94307663,4,0.89600000,1,1
1,1,25,1.20000000,-0.75000000,1.20078336,-0.74633070,0.00375198,0.00257325,0.00128796,134.46832311,4,0.92300000,1,1
1,1,26,1.20000000,-0.75000000,1.19787209,-0.74787330,0.00300847,0.00098816,0.00044186,152.20869097,4,0.91200000,1,1
1,1,27,1.20000000,-0.75000000,1.20646520,-0.74884063,0.00656833,0.00183821,0.00040998,163.09656829,4,0.89600000,1,1
1,1,28,1.20000000,-0.75000000,1.19623548,-0.75243429,0.00448301,0.00304857,0.00088069,161.70839861,4,0.89100000,1,1
1,1,29,1.20000000,-0.75000000,1.20411385,-0.74618435,0.00561097,0.00083937,0.00029873,158.21511361,4,0.92300000,1,1
1,1,30,1.20000000,-0.75000000,1.20391177,-0.74633783,0.00535849,0.00337984,0.00078692,145.85147444,4,0.92200000,1,1
1,1,31,1.20000000,-0.75000000,1.19477062,-0.75147497,0.00543341,0.00206743,0.00114356,149.07153106,4,0.94200000,1,1
1,1,32,1.20000000,-0.75000000,1.20563268,-0.74864426,0.00579354,0.00146492,0.00042911,162.33820261,4,0.95500000,1,1
1,1,33,1.20000000,-0.75000000,1.20577555,-0.75003878,0.00577568,0.00133190,0.00062560,164.14173166,4,0.89700000,1,1
1,1,34,1.20000000,-0.75000000,1.19956891,-0.74375108,0.00626377,0.00106948,0.00109587,156.29012467,5,0.98400000,1,1
1,1,35,1.20000000,-0.75000000,1.20440795,-0.74221620,0.00894526,0.00578988,0.00174545,159.33043189,4,0.89700000,1,1
1,1,36,1.20000000,-0.75000000,1.20119263,-0.75108360,0.00161138,0.00121268,0.00070863,168.04779364,4,0.88700000,1,1
1,1,37,1.20000000,-0.75000000,1.19766333,-0.75239208,0.00334396,0.00248309,0.00185606,152.35569054,80,8.21500000,0,1
1,1,38,1.20000000,-0.75000000,1.20193987,-0.75140755,0.00239673,0.00309790,0.00101664,143.09423619,4,0.90100000,1,1
1,1,39,1.20000000,-0.75000000,1.19790794,-0.74838344,0.00264386,0.00221888,0.00159324,163.24095677,4,1.00400000,1,1
1,1,40,1.20000000,-0.75000000,1.19894019,-0.74805284,0.00221690,0.00228330,0.00058836,145.32691046,4,0.89800000,1,1
1,1,41,1.20000000,-0.75000000,1.20713881,-0.74774646,0.00748605,0.00254630,0.00057554,155.21461534,8,1.30200000,1,1
1,1,42,1.20000000,-0.75000000,1.20464371,-0.74688442,0.00559204,0.00295879,0.00086558,171.12887423,4,1.71800000,1,1
