scenario,beacons,range_sigma,bearing_sigma,target_rmse,beacon_position_rmse,beacon_yaw_rmse,mean_cost,mean_iterations,mean_runtime_ms,success_rate
1,1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.65236000,1.00000000
1,2,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.68210000,1.00000000
2,1,0.00000000,0.00000000,0.00000000,0.00000000,,0.00000000,5.00000000,0.15215000,1.00000000
2,2,0.00000000,0.00000000,0.00000000,0.00000000,,0.00000000,5.00000000,0.30150000,1.00000000
3,1,0.00000000,0.00000000,0.07232655,0.14074658,0.04396534,4385.82570226,80.00000000,2.60845000,0.00000000
3,2,0.00000000,0.00000000,0.03724038,0.12193981,0.02772424,7081.31562158,160.00000000,13.55753000,0.00000000
1,1,0.00000000,0.00200000,0.00153001,0.00084118,0.00027023,77.34604143,9.71000000,1.51908000,1.00000000
1,2,0.00000000,0.00200000,0.00144558,0.00095894,0.00028690,155.30031694,10.28000000,5.77819000,1.00000000
2,1,0.00000000,0.00200000,0.00121343,0.00078582,,0.21392360,5.00000000,0.20381000,1.00000000
2,2,0.00000000,0.00200000,0.00069182,0.00064240,,0.39103365,8.48000000,0.50175000,1.00000000
3,1,0.00000000,0.00200000,0.01627467,0.05323104,0.01079550,6782.57007490,80.00000000,3.48208000,0.12000000
3,2,0.00000000,0.00200000,0.04680998,0.14712260,0.01638853,82811.25049253,160.00000000,14.31782000,0.00000000
1,1,0.00000000,0.00600000,0.00400721,0.00221660,0.00076569,79.78766410,7.76000000,1.87091000,1.00000000
1,2,0.00000000,0.00600000,0.00285004,0.00217447,0.00075532,157.05533524,8.75000000,5.68317000,1.00000000
2,1,0.00000000,0.00600000,0.00391340,0.00256567,,1.93765975,7.44000000,0.23868000,1.00000000
2,2,0.00000000,0.00600000,0.00210153,0.00195985,,3.35199380,6.40000000,0.51825000,1.00000000
3,1,0.00000000,0.00600000,0.07224841,0.14010976,0.04351984,4448.66781733,80.00000000,3.20087000,0.00000000
3,2,0.00000000,0.00600000,0.03751191,0.12189368,0.02794664,7271.21243281,160.00000000,17.90619000,0.00000000
1,1,0.00000000,0.01200000,0.00717893,0.00279298,0.00133330,78.80936724,4.49000000,1.49798000,1.00000000
1,2,0.00000000,0.01200000,0.00363459,0.00300420,0.00127012,158.82242406,7.02000000,4.28067000,1.00000000
2,1,0.00000000,0.01200000,0.00722217,0.00476266,,7.63044633,7.21000000,0.21728000,1.00000000
2,2,0.00000000,0.01200000,0.00458442,0.00404052,,13.95656390,5.92000000,0.35974000,1.00000000
3,1,0.00000000,0.01200000,0.76803010,0.57520843,0.25326269,20865.14598046,80.00000000,2.72982000,0.00000000
3,2,0.00000000,0.01200000,0.02173853,0.33123313,0.11757244,14241.40852661,160.00000000,13.70988000,0.00000000
1,1,0.00000000,0.01800000,0.01089105,0.00340298,0.00238319,79.64325269,9.62000000,2.04517000,1.00000000
1,2,0.00000000,0.01800000,0.00414849,0.00354173,0.00168136,157.92555772,7.02000000,4.67919000,1.00000000
2,1,0.00000000,0.01800000,0.01076163,0.00693588,,16.92640294,8.13000000,0.24199000,1.00000000
2,2,0.00000000,0.01800000,0.00647290,0.00617644,,30.67436213,10.13000000,0.74993000,1.00000000
3,1,0.00000000,0.01800000,1.65064372,1.11804870,0.52404111,43890.18969668,80.00000000,3.64762000,0.00000000
3,2,0.00000000,0.01800000,0.02093983,0.94900863,0.30454517,51630.03588906,160.00000000,13.38345000,0.00000000
